,content,topics
0,,0_Lecture_06___Introduction_to_Decision_Trees.wav
1,welcome to the next lecture of this class in the model of decision trees in the last class introduced decision tree today we will look at some learning algorithm to learn decision trees so let us recapitulate the basic outline of the greedy decision tree algorithm that we discussed in the last class as we said that we start with a number of training examples letter city is the set of training examples now we want to decide at test for the root node of the decision tree so we come up with,1_Lecture_06___Introduction_to_Decision_Trees.wav
2,find out one of the suppose a is the set of attributes,2_Lecture_06___Introduction_to_Decision_Trees.wav
3,Tere Piche attribute so we want to check we want to find one of the attributes based on which we will make decisions at the root node so let a be the attribute that we have selected now based on that attribute I will look at the different values of the attributes suppose a text to values and then corresponding to that we will have two children of the set of training in samples with the associated initially with a route that will be split into D1 and D2 suppose this particular branch corresponds to a equal to to this corresponds to a call to false so divine will contain those examples from which a 1 equal to 22 will contain those examples for which date,3_Lecture_06___Introduction_to_Decision_Trees.wav
4,down at this case when we look at Diwan we will again have to select,4_Lecture_06___Introduction_to_Decision_Trees.wav
5,I decide that we will stop growing the decision Tree at this point or we have to select an attribute and we recursively and the basic outline of the album is given in the,5_Lecture_06___Introduction_to_Decision_Trees.wav
6,as we discussed in the last class charactor to decisions we have to take now out of these to open nodes we have to decide which one we should start with and then we have to decide if you decide to start with a particular node we have to decide at that note whether we should stop or whether we should grow the tree if he grows a tree we have to decide which attribute to split on these are the choices that one has to make when one goes for a decision tree now let us see how we take those decisions first for letters look at the decision about when used,6_Lecture_06___Introduction_to_Decision_Trees.wav
7,several cases where you may have to stop first of all if you consider that there are three features of three attributes and at a particular point suppose you have chosen a one the feature a one and based on that you have an equal to fir se got this place and then suppose you have chosen a 3 and based on three equal to true you have got this plate and here suppose you have chosen a to and based on a true equal to true or false you got the splits proposed here we have De to them here we have D3 and here we have D4 now if it is the case that all the three attributes have been used up so this is contained a 1 equal to false the two equal to true to equal to to solve things are given here so we have no more attributes to split on because we have exhausted that repeats if you have exhausted that we have to stop here we have the,7_Lecture_06___Introduction_to_Decision_Trees.wav
8,if you find that this place that all the examples in Deewan have the value plus or have the value minus if all the examples of the one have the same value for the target attribute we can immediately stop there and label this known as a leaf not all of them my plus we will able this as a leaf not with the class of the attribute that we have we may stop if the examples that we have got here are too few suppose the five is a set of examples we have and the five is a Saturday 62522 examples then also we should stop these are the three of the possible stop,8_Lecture_06___Introduction_to_Decision_Trees.wav
9,the decision about which notes to split,9_Lecture_06___Introduction_to_Decision_Trees.wav
10,which attribute to split on,10_Lecture_06___Introduction_to_Decision_Trees.wav
11,practice that will apply at a particular,11_Lecture_06___Introduction_to_Decision_Trees.wav
12,what is the ample here we have the choice of using attribute it to or a three years we have the choice of using attributes A1 A2 A3 which attributes should be,12_Lecture_06___Introduction_to_Decision_Trees.wav
13,so earlier we have talked about a Biased criteria which says that we want to choose a very simple function we prefer simpler functions or we can say in the context of decision trees we prefer smaller decision trees so we could think of a heuristic method of choosing the attribute so that based on this choice of the attribute the decision tree is expected to be,13_Lecture_06___Introduction_to_Decision_Trees.wav
