,content,topics
0,,0_Lecture_13__Feature_Selection.wav
1,today we will cover up in the today we are in the first third module which is on instance based learning and feature reduction we have the part B of this modern where we will talk,1_Lecture_13__Feature_Selection.wav
2,class we have looked at instance based learning and we have seen that in instance based learning given that test data instance we have to find out the nearby instances for this we need the distance function this distance function is computed in terms of the features if the number of features is large there is a problem because the distance that you get is not may not be representative of the actual distance through this is the reason why feature reduction become,2_Lecture_13__Feature_Selection.wav
3,we have seen that are you know that information about the target so features can't,3_Lecture_13__Feature_Selection.wav
4,about the,4_Lecture_13__Feature_Selection.wav
5,function classification function is defined in terms of the features so you may be tempted to think that more features means better information or more,5_Lecture_13__Feature_Selection.wav
6,better discriminative power or better classification,6_Lecture_13__Feature_Selection.wav
7,is this really the case always we will see that this is not always but this may not hold always that just because your more features does not mean you have more information or better class,7_Lecture_13__Feature_Selection.wav
8,,8_Lecture_13__Feature_Selection.wav
9,one typical scenario as if you keep the number of training examples fixed and the training set is not extremely large then typically what me,9_Lecture_13__Feature_Selection.wav
10,number of features initially the classified performance Megha and then the classified,10_Lecture_13__Feature_Selection.wav
11,why why can it be so the reason is features can be,11_Lecture_13__Feature_Selection.wav
12,,12_Lecture_13__Feature_Selection.wav
13,K nearest neighbour please use elephant features introduce noise and,13_Lecture_13__Feature_Selection.wav
14,trying to find which instances are close together this is relevant features or noise features will make this make the,14_Lecture_13__Feature_Selection.wav
15,you may have read an,15_Lecture_13__Feature_Selection.wav
16,training examples and redundant features which do not contribute additional information they may lead to degradation in performance of the learner,16_Lecture_13__Feature_Selection.wav
17,elephant features and easy Dun redundant features can confuse and especially when you have limited training documents limited free,17_Lecture_13__Feature_Selection.wav
18,computation,18_Lecture_13__Feature_Selection.wav
19,,19_Lecture_13__Feature_Selection.wav
20,space by positive space will be larger and searching may take more time depending on the,20_Lecture_13__Feature_Selection.wav
21,with Limited training examples you cannot work with a large number of features because we have seen that it leads to,21_Lecture_13__Feature_Selection.wav
22,these things contributes to a phenomena which we called the Curse of dimensionality,22_Lecture_13__Feature_Selection.wav
23,when you have too many features too many diamond,23_Lecture_13__Feature_Selection.wav
24,lead to degradation of the learning out more computational time and distance omina is called because,24_Lecture_13__Feature_Selection.wav
25,Curse of dimensionality we want to do feature reduction two types of feature reduction one is called feature selection that is called feature extraction,25_Lecture_13__Feature_Selection.wav
26,,26_Lecture_13__Feature_Selection.wav
27,election what we do is that given an initial set of features as equal to X 1 X 2 X and we are given initially and number of features we want to find the subset of prime which is a subset of f equal to,27_Lecture_13__Feature_Selection.wav
28,,28_Lecture_13__Feature_Selection.wav
29,Prime One X Prime,29_Lecture_13__Feature_Selection.wav
30,,30_Lecture_13__Feature_Selection.wav
31,find a subset of those features so that it optimises certain criteria so what do you want to optimise,31_Lecture_13__Feature_Selection.wav
32,show me the first talk about the next method of feature reduction which is called feature x,32_Lecture_13__Feature_Selection.wav
33,feature extraction in the next class but what feature extraction does is,33_Lecture_13__Feature_Selection.wav
34,transforms or projects the original set of features into a new substance which has smaller,34_Lecture_13__Feature_Selection.wav
35,dial it,35_Lecture_13__Feature_Selection.wav
36,,36_Lecture_13__Feature_Selection.wav
37,M less than end,37_Lecture_13__Feature_Selection.wav
38,feature selection you select a subset of the features will talk about feature extraction in the next class so the import these cases what you are seeking to optimise if you want to either improve or maintain,38_Lecture_13__Feature_Selection.wav
39,location accuracy,39_Lecture_13__Feature_Selection.wav
40,5 classified,40_Lecture_13__Feature_Selection.wav
41,Vishwas which showed that as you increase the number of each,41_Lecture_13__Feature_Selection.wav
42,classification accuracy initially increases and then reduces it could also be the case that the classification accuracy increases and then remains the same so you want to find the small number of features which either improve classification accuracy or maintains the same acuris accuracy and it simplifies the complexity of the classified today weather reasons why we do feature selection now that feature selection we want to select a subset of the original features set now let's see how we can select that some,42_Lecture_13__Feature_Selection.wav
43,you can see that if we have any teachers then number of subsets,43_Lecture_13__Feature_Selection.wav
44,,44_Lecture_13__Feature_Selection.wav
45,new Marathi each of this possible subsets and check how good it is because the number of subsets is exponential so we need a method which works in reasonable time the method that we can use for feature subset selection can be optimum method,45_Lecture_13__Feature_Selection.wav
46,,46_Lecture_13__Feature_Selection.wav
47,,47_Lecture_13__Feature_Selection.wav
48,we can use optimum method if the hypothesis space for the feature subset space has a structure so that we can have a optimum algorithm which works polynomial time otherwise we can use accurate sticker greedy algorithm or some type of Run,48_Lecture_13__Feature_Selection.wav
49,which considers the different feature subset will also have some mechanism to evaluate,49_Lecture_13__Feature_Selection.wav
50,,50_Lecture_13__Feature_Selection.wav
51,types of method,51_Lecture_13__Feature_Selection.wav
52,in detail unsupervised methods and superb,52_Lecture_13__Feature_Selection.wav
53,methods we are,53_Lecture_13__Feature_Selection.wav
54,over,54_Lecture_13__Feature_Selection.wav
55,content in some way in an unsupervised way these methods are called filter,55_Lecture_13__Feature_Selection.wav
