,content,topics
0,good morning so today we will talk about part 3 of the module and bayesian learning today's topic is nice base in the last class we looked at the base theorem to recapitulate it says the posterior probability of a hypothesis given that data is given by probability of the given age X probability of the hypothesis / the likelihood of the,0_Lecture_19__Naive_Bayes.wav
1,if you think of beehive you are trying to find out letters apply based your Rinku classification you want to find out the classification why given the input x so if you apply Bayes Theorem probability y by x is proportional to as we have seen that for different hypothesis the likelihood of the data is identical bye bye bye given X is proportional to probability of X given y x probability of y,1_Lecture_19__Naive_Bayes.wav
2,that is now X is the input instance and it can be a vector of features so we can write it as probability ex 1X 2x mollis smolin is the number of features,2_Lecture_19__Naive_Bayes.wav
3,bi y x fever now this expression probability X1 X2 X3 given why is a joint Probability and joint probability is difficult to learn and represent because if there are n features even if the features of Boolean there are 2 to the power n possible combinations of the features and you have to store the values corresponding the probability values corresponding to all of them and this is a intractable problem now in nice base which we will talk about today,3_Lecture_19__Naive_Bayes.wav
4,the make a simplifying assumption is that individual are independent given why so in general we can write this as this part of probability ex 1 given y x probability X2 given X 1 by X probability ex and given X1 X2 X3 - 11 x probability of my now in the nice Samson we say that probability of,4_Lecture_19__Naive_Bayes.wav
5,XI,5_Lecture_19__Naive_Bayes.wav
6,given its A Y is equal to Probability excise invoice or its and exchange are independent given by and based on that assumption we can rewrite this as probability of its one given by X probability its to give NY times probability of XM given y x probability of white rice based exam,6_Lecture_19__Naive_Bayes.wav
7,,7_Lecture_19__Naive_Bayes.wav
8,so beer and grooming conditional Independence among the individual attributes X 1 X 2 x,8_Lecture_19__Naive_Bayes.wav
9,and based on this we can do the classification,9_Lecture_19__Naive_Bayes.wav
10,VRL Hue me all the input features are conditionally independent and this can be computed as probability expand given by its two given by X and given y,10_Lecture_19__Naive_Bayes.wav
11,if you look at the slide from Bayes rule if the probability of while taking a particular value by 1 a given the value of the input features X1 X2 Excel is given by probability by equal to y x y ability X1 X2 X3 given Y equal to Y Ken / denominator which is independent of by assuming conditional Independence we get it is probability Y equal to y k x product of probability exercise given why and based on this we can get a classifier the classified says that given a new example that classification why new is that why ke,11_Lecture_19__Naive_Bayes.wav
