,content,topics
0,,0_Lecture_33__Deep_Neural_Network.wav
1,good morning so now we have in the last two classes in neural network we have looked at single layer and multilayer neural network and the backpropagation algorithm today we will talk briefly about Deep neural networks are so this is a very new topic and with a lot of interest and I will just give you a brief exposure to certain very basic deep neural network architectures and tell you what it is all about so,1_Lecture_33__Deep_Neural_Network.wav
2,years there have been break they have been a lot of excitement with deep learning deep neural networks and their happen breakthrough results in various domains including starting with image classification then in speech recognition and finally in natural language processing like machine translation multi-modal learning developing text from speech text from images automatically and many such and the excitement continents I'll talk briefly about what is a deep neural network so and deep neural network in a very simply speaking is a network which is Deep that is which has many hidden layers we have seen that in a we have feedforward that works with hidden layers normally in a normal that work what use to happen is that it we also talked about in the last class that a network with two hidden layers is enough to represent any function but it may not be easy to learn learn all Complex functions using a network into layers as you increase the layers in the network it is easier to be able to represent complex function in terms of simple function,2_Lecture_33__Deep_Neural_Network.wav
3,you can have a network with many hidden layers and you can call this a deep network why was it not an attractive proposition to start with people found that when you have a deep that work the number of the error surface becomes very rough and there is a lot of local cinema so you cannot always converts the convergence is extremely slow slow slow training and very important that was one condition suppose you have this input and you have the different hidden layers 81 82 83 84 and then you have out now we have connection from this layer to this layer this layer to this layer this back propagation the error output was propagated here and this error the backpropagation error was propagated here here now there are a few things most of the error based on this and these weights rising changed as we go further here,3_Lecture_33__Deep_Neural_Network.wav
4,they would be less in a less updates of the weights in the initial and one of the reasons was diffusion of gradient when you do gradient Descent you find the error gradient and gradient Descent part the gradient can get very diffused get activated as you go deeper from the output input when you use a function like the sigmoid function in look at the sigmoid function in the sigmoid function in most of the region's gradient is almost close to zero only in this region are the gradient has the reason that most of the regions the gradient is close to zero is a small value and as you are taking proper getting them back was a gradient becomes attenuated and very close to zero and very little very little change was happening here they can also be in certain cases and can increase very much they are also there is a problem which can be handled by simpler method that great and clipping diffusion of gradient is a problem and the slowness of convergence is a problem when you use a deep,4_Lecture_33__Deep_Neural_Network.wav
5,and prove that came in using deep layer network is because people came up with methods which could handle this problem in various ways some of which we will discuss today for letter C Y keep representation is good in many tasks hierarchical representation help represent Complex functions for example in natural language processing we have an input sentence and we can look at first sight and define the words we can look at the part of speech on morphology of the word which can then identify chunks for small phrases than larger Phrases and clauses and then the sentence when we can process it in this order in the NLP pipeline when you doing image processing you can initially find out the ages in the image on the pixels find the ages then the text on the motives and parts then objects and if you do it had done quickly the process may become simpler 20 planning we are basically learning a hierarchy of internal representation and think of that the notes that in every hidden layer are representing certain features that this is the input these are some low level features and these features are composed of this low level features a for the composed for the composer for the Corpus so you have a hierarchy of low-level to higher level features and the learnt internal representation can be thought of as features and we can say that these hidden layers are acting as feature extract deep learning can be looked upon as a feature learning and one way of look cooking at it is that we have the input and here we have a trainable feature its,5_Lecture_33__Deep_Neural_Network.wav
6,call feature extractor,6_Lecture_33__Deep_Neural_Network.wav
7,and finally at the output we have a class,7_Lecture_33__Deep_Neural_Network.wav
8,if you have a classification problem,8_Lecture_33__Deep_Neural_Network.wav
9,one of the ways in which deep networks can be trained is by using unsupervised pretend there are several ways one is that you could try to setup the units so that the gradient diffusion or gradient blowing a problem can get reduced and there are some ways of using activation functions other than sigmoid function for example people use a function called which will see which avoids the problem of gradient diffusion The Other approaches using unsupervised pre training so instead of learning and deep Network at one go we learn the network one step at a time using a not to,9_Lecture_33__Deep_Neural_Network.wav
10,and by growing the layers one at a time we can avoid the problem which deep networks have if you look at the slide are we show the schematic of doing great deal a device pre-training this is the input the first learn the first hidden,10_Lecture_33__Deep_Neural_Network.wav
11,by using some mechanism one of the mechanism is auto-encoder which I will discuss briefly today and other is by using restricted Boltzmann machine by several such approaches is possible to first learn this layer when you learn this layer you fix this layer after you fix this layer in terms of this you learn the next then you fix it then you learn the next year and so on so here you are fixing the parameters of the previous hidden layers and you are assuming that these are different features and then you are trying to find the next place so this is the idea of green tea layer-wise free training after have learnt the layers individually finally you can look at the classification problem and based on the training example you can set up the classified at the last layer of the output layer and then consume the whole network backpropagation initially you do great deal Airways training finally you put the classification problem using the training examples and then tune the entire network so this is one scheme which is followed by stacked restricted Boltzmann machine and start auto,11_Lecture_33__Deep_Neural_Network.wav
12,neural network so what we will look at is feed forward neural network stacked autoencoder or which will talk about briefly statue restricted Boltzmann machine will not talked about in this class that's another approach and very briefly will talk about convolutional neural,12_Lecture_33__Deep_Neural_Network.wav
13,example of a deep architecture a multilayer perceptron we have the output layer this is a input layer comprising of RAW sensory input these are three hidden layers which learn more abstract representations as you go upwards and finally this is the,13_Lecture_33__Deep_Neural_Network.wav
14,now we have seen a neural network desert back propagation of error talked about it and when you train the blood works then there are some problems the early layers of the network to not get trained well because there is a diffusion of gradient error at invites as it propagates to earlier layers it has very slow training and the error too early LS drops quickly as the top players was please solve the task so not much update happens in the beginning layers and that is often not enough label date,14_Lecture_33__Deep_Neural_Network.wav
15,if you have a deep network it will have many parameters when you have we have seen that if you have too many parameters to Hue training example then it may lead to overfitting however you can take advantage of unlabeled data instead of using only labelled data which may be restricted in number you can take advantage of unlabeled data and this is what some of these approaches to Deep networks tend to have more local minima problems than Shallow networks so these are some problems with it,15_Lecture_33__Deep_Neural_Network.wav
16,now as I said that you talked about the sigmoid function is also the tanh function relu function softplus function gives us some other activation function so this blue line is the sigmoid function which have discussed is between 0 and 1 that and each function is also an at step function similar to the sigmoid function its ranges from -1,16_Lecture_33__Deep_Neural_Network.wav
17,the release function the red function value function is zero when the input is less than zero and after that it is a linear,17_Lecture_33__Deep_Neural_Network.wav
