,content,topics
0,,0_Lecture_42___Kmeans_Clustering.wav
1,Tujhe we will talk about a particular class 3 out in the last class we discussed about the various types of clustering out so we mentioned partitioning as one of the methods of class,1_Lecture_42___Kmeans_Clustering.wav
2,best algorithm specifically the k-means,2_Lecture_42___Kmeans_Clustering.wav
3,how to dumb we are given,3_Lecture_42___Kmeans_Clustering.wav
4,we have to produce cake clusters showcase given to us and we are given a set of object for instance,4_Lecture_42___Kmeans_Clustering.wav
5,latest Call detect,5_Lecture_42___Kmeans_Clustering.wav
6,comprising of letters a m object's x 1 X 2 x,6_Lecture_42___Kmeans_Clustering.wav
7,which object letter for resume is described in terms of N features so we can write that it's can be written in terms of,7_Lecture_42___Kmeans_Clustering.wav
8,and features exercise 12.2 XI and right so we are now we have what we have to do is to get a so we have two output ke cluster,8_Lecture_42___Kmeans_Clustering.wav
9,the set of clusters comprising of,9_Lecture_42___Kmeans_Clustering.wav
10,S1 S2,10_Lecture_42___Kmeans_Clustering.wav
11,class 10 how to book the clusters that it will output will form a partition of the objects that is each party class 10 is destroyed and together they covered the entire set of,11_Lecture_42___Kmeans_Clustering.wav
12,cluster,12_Lecture_42___Kmeans_Clustering.wav
13,is represented by the,13_Lecture_42___Kmeans_Clustering.wav
14,centre,14_Lecture_42___Kmeans_Clustering.wav
15,latest college new why it is not the parameter with respect to the cluster,15_Lecture_42___Kmeans_Clustering.wav
16,find K clusters we have to find us and what would be our criteria for choosing the cluster we want to find the clusters so that it can optimise some chosen,16_Lecture_42___Kmeans_Clustering.wav
17,Optimisation criteria is the within cluster sum of squared distance mentioned that a cluster is touched,17_Lecture_42___Kmeans_Clustering.wav
18,plastid are similar to each other objects belonging to different clusters are,18_Lecture_42___Kmeans_Clustering.wav
19,possible Optimisation criteria,19_Lecture_42___Kmeans_Clustering.wav
20,sum of squares distance which we can write as wcs,20_Lecture_42___Kmeans_Clustering.wav
21,,21_Lecture_42___Kmeans_Clustering.wav
22,sum of,22_Lecture_42___Kmeans_Clustering.wav
23,can be computed,23_Lecture_42___Kmeans_Clustering.wav
24,so given a particular set of clusters the within cluster sum of distance is obtained as some over equal to 12 ke bad case the number of,24_Lecture_42___Kmeans_Clustering.wav
25,pencilmation,25_Lecture_42___Kmeans_Clustering.wav
26,belongs to a Si for all objects belonging to,26_Lecture_42___Kmeans_Clustering.wav
27,find XI - new,27_Lecture_42___Kmeans_Clustering.wav
28,we look at each of the ke clusters for oneplus will look at all the objects in the cluster and find its distance from the clusters that the sum of the square distance for all the elements in this cluster some robot all the clusters it's me the within cluster sum of,28_Lecture_42___Kmeans_Clustering.wav
29,set of clusters we can compute this we want that set of clusters for which this is minimise so what we want,29_Lecture_42___Kmeans_Clustering.wav
30,find out that set of clusters for which this quantity is minimised,30_Lecture_42___Kmeans_Clustering.wav
31,,31_Lecture_42___Kmeans_Clustering.wav
32,finding a set of clusters which exactly minimises criteria is heart problem so what we do is that we will describe a simple heuristic algorithm called came inside which was designed by McQueen in 1967 can use was proposed by Max queen,32_Lecture_42___Kmeans_Clustering.wav
33,,33_Lecture_42___Kmeans_Clustering.wav
34,1967 and this is accuristix algorithm which tries to come up with a set of clusters that tries to minimise this within cluster sum of squares even though it may not be the exam,34_Lecture_42___Kmeans_Clustering.wav
35,describe the K means algorithm,35_Lecture_42___Kmeans_Clustering.wav
36,,36_Lecture_42___Kmeans_Clustering.wav
37,,37_Lecture_42___Kmeans_Clustering.wav
38,,38_Lecture_42___Kmeans_Clustering.wav
39,,39_Lecture_42___Kmeans_Clustering.wav
40,,40_Lecture_42___Kmeans_Clustering.wav
41,what we do is that we are given cake,41_Lecture_42___Kmeans_Clustering.wav
42,give,42_Lecture_42___Kmeans_Clustering.wav
43,the set of objects X so assuming that we have two features we have different point,43_Lecture_42___Kmeans_Clustering.wav
44,presenting the right and suppose we are given equal to 3 this is,44_Lecture_42___Kmeans_Clustering.wav
45,points are X and suppose you are given a cake,45_Lecture_42___Kmeans_Clustering.wav
46,we need to find a set of three clusters so what we do in K means algorithm is we identify running,46_Lecture_42___Kmeans_Clustering.wav
47,cluster,47_Lecture_42___Kmeans_Clustering.wav
48,off the data points let us say we choose this point this point and this,48_Lecture_42___Kmeans_Clustering.wav
49,randomly pick up three of the points and assign them as the cluster centre of class 10th,49_Lecture_42___Kmeans_Clustering.wav
50,after we have a sign that now what we do is that we look at each of the points and assign them to the closest cluster to this point gets assigned to this one this gets assigned to this one this gets assigned to this one this point get the same here this gets assigned here this gets a sign here at risk assessment year this get assigned so we randomly pick up three seats and assign each of the data points to the closed,50_Lecture_42___Kmeans_Clustering.wav
51,after we have done that now these points have gone to the same seed so we now take this point Sharif compute the cluster Centre supports the new cluster centre of these three points is found here,51_Lecture_42___Kmeans_Clustering.wav
52,suppose the new centre of these points is found here and the new centre of this point system,52_Lecture_42___Kmeans_Clustering.wav
53,the second iteration,53_Lecture_42___Kmeans_Clustering.wav
54,take these are the cluster centres and repeat the process that is now we are again we look at the points and find out which cluster it will be they will get a sign for example now it may be possible that this is the assignment,54_Lecture_42___Kmeans_Clustering.wav
55,,55_Lecture_42___Kmeans_Clustering.wav
56,based on the new cluster centres we again try to reassign the points to the clusters and we continue,56_Lecture_42___Kmeans_Clustering.wav
57,continue until the converts,57_Lecture_42___Kmeans_Clustering.wav
58,very simple given ke we randomly choose Ke Data points to be the initial cluster Centre we assign each data point to the closest + the centre we compute the cluster centres using the current cluster membership and if the convergence criteria is not met go to court will soon see what sort of convergence criteria example also if we randomly choose these three points 80 based on that we assign points to cluster c and then we compute the cluster centres and this process is continued,58_Lecture_42___Kmeans_Clustering.wav
59,,59_Lecture_42___Kmeans_Clustering.wav
60,,60_Lecture_42___Kmeans_Clustering.wav
61,situation when between two iterations the class the sentence to not change that is there is no reassignment of points to the,61_Lecture_42___Kmeans_Clustering.wav
62,stop if there is no change in the,62_Lecture_42___Kmeans_Clustering.wav
63,very little decrease in the summer,63_Lecture_42___Kmeans_Clustering.wav
64,possibility under which we can stop now this out,64_Lecture_42___Kmeans_Clustering.wav
65,so that we can show that the sum of square,65_Lecture_42___Kmeans_Clustering.wav
66,will go on decreasing from m,66_Lecture_42___Kmeans_Clustering.wav
67,this process is bound to convert because this for this is going,67_Lecture_42___Kmeans_Clustering.wav
