,content,topics
0,,0_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
1,today we will have the first module of machine learning part c i will talk about hypothesis space and inductive bias will give a brief introduction to this so that when we talk about different machine learning out with us we can refer to this,1_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
2,that in inductive learning,2_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
3,aur production,3_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
4,we are given example,4_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
5,on date,5_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
6,and examples are of the four as we have seen x,6_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
7,x for a particular instance X comprises of the values of the different features of that instance and why is the route attribute and we can also think of that has been given its and effect,7_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
8,so issue as you that the output of an instance is a function of the input vector input feature vector and this is a function that we are trying to learn we are given xfx pairs as examples and we want to learn x for classification problem,8_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
9,in the class which of the about two types of supervised learning problems classification and regression depending on whether the output attribute type is a discrete valued or continuous value in classification problem this function effects is described,9_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
10,in regression,10_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
11,the function f x,11_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
12,continuous,12_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
13,we can also about some classification and regression in some cases we may want to find out the probability of a particular value of Y so for those problems where will look at probability estimation,13_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
14,,14_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
15,our effects,15_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
16,if the probability of,16_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
17,,17_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
18,25 types of inductive learning problems that you are looking at why do we call this inductive learning we are given some data and we are trying to do induction to try to identify a function which can explain the data induction as opposed to detect,18_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
19,unless we can see all the instances all the possible data points for we make some restricted as a certain about the language in which type of this is express or some buyers this problem is not well defined so that's why it's called an inductor,19_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
20,,20_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
21,in the last class which talked about features,21_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
22,so when you say we have to learn a function if a function of the features so instances are described in terms of features so features are property,22_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
23,describe each in,23_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
24,and each instance can be described in a quantitative manager using features and often we have multiple features so we have what we use what we call a feature vector,24_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
25,example for a particular instance we may be of particular task we may be describing all the instances in terms of 10 features to the feature that there will be a one dimensional vector of size 10 now based on this week and define of features space,25_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
26,suppose for simplicity let us assume that there are two features and we can,26_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
27,the features are X1 and X2 in general we can have a number of features we have two features the features define a two dimensional space if you have any features that define an n-dimensional space if you take a particular instance that Ascend D1 is an instance and fodder 1 X 1 equal to 2 x 2 equal to 5,27_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
28,sex one is to hear and experience 5 year so this is device ODI one can be thought of as a point in this feature space point in the two-dimensional feature space are you can think of it as a vector in this space to eat instance is a point in the feature space now let's look at a classification problem and Let Us C say that it is a two class classification problem so we are given a number of instances are examples some of which belong to class 1 the others belong to class 2 Class classification problem we have two types of instances those belonging to class 1 and those belonging to class to you are given a training set which comprises a subset of the instances some of them are marks class 1 some of the month plus two and we can say that class one is yours it is and class two as negative so we find that we can map different points in this feature space let us say these are the positive point,28_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
29,and we have some points in this feature space which are negative,29_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
30,now what you want to do if we want to learn a function so that based on the function we want to We want a function to predict whether a new instance which is given to you suppose this is a new instance which is given to you we want to know whether this should be positive and negative in order to do this we have to learn a function or the function could be a particular curve of a line which separates the positive from the negative instances for example the function that we learn put this function and we can say that any point which lies to the side of the function is positive any point which lies to this site of the function is negative and some point lies to the left of the function it is negative inductive learning is about,30_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
31,solar just look at the slide in the slide which have taken from my flight by Jessica Davis of University of Washington we can see a feature space is described in terms of the positive and negative examples the green Plaza the positive points the red - are the negative,31_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
32,this is a particular instance for which X 1.5 x 2 is 2.8 and the label of this instance is,32_Lecture_03__Hypothesis_Space_and_Inductive_Bias.wav
