,content,topics
0,,0_Lecture_05___Linear_Regression.wav
1,morning welcome to the course on introduction to machine learning today we will start the second module of the course which is Introduction to Linear regression and decision trees these are some of the simplest machine learning algorithms and with this we will start looking at the machine learning algorithms in the first part of this module we will talk about linear regression we have already explained what is regression so regression is a supervised learning problem,1_Lecture_05___Linear_Regression.wav
2,where you are given examples of instances whose X and Y values are given and you have to learn a function so that given an unknown X you have to predict why so you want a function which predicts given X predicts Y and for regression why is country,2_Lecture_05___Linear_Regression.wav
3,so the equation problem and there are many models that can be used for regression that is many types of functions can be used the simplest type of function is a linear,3_Lecture_05___Linear_Regression.wav
4,now X can comprise of a single feature or multiple features for simplicity will first talk about simple regression when X is,4_Lecture_05___Linear_Regression.wav
5,feature will also discuss multiple regression comprises a number of feature source if x is a single teacher we can think of the training examples can be plotted suppose this is the value of x and this is the value of Y and let us assume that both x and y are continuous value so each training example is a point in this space for this value of x is the value of Y for this value of x is the value of Y so like that you may have different points in the feature space,5_Lecture_05___Linear_Regression.wav
6,and what you are required to do is find the function so that given an arbitrary unknown X you can predict why now the function can have different forms for example the function could be like this,6_Lecture_05___Linear_Regression.wav
7,on the function could be like this,7_Lecture_05___Linear_Regression.wav
8,what the function could be like this,8_Lecture_05___Linear_Regression.wav
9,different types of functions which are possible in linear regression we argue that the function is linear like this blue line here and out of the different linear functions possible we want to find one that optimises certain right,9_Lecture_05___Linear_Regression.wav
10,but apart from linear regression we could have other forms of regression for example if you look at the slide here in this particular picture in the first diagram the blue circles denote the different instances in the training data and suppose the green line is the actual function that actual function from which the points were generated so in regression you are given this blue points not the green line and you are asked to come up with a function now let us say that if you look at the diagram below suppose this blue points are the lines and you want to come up with a function suppose the red line is a function that you have come up it now we want to find out how good is the line with respect to the training exam so one of the ways we can measure how good is the line is 20 find the error of the line look at the Blue Point so here there are three blue points we can define the error one way of defining the error is we find the distance of the point from this red line and we can take the square distance from each point to the line and take the sum of squared errors the sum of squared Errors is one measure of error and this is one of the popular measures of error and we could try to find that function for which this sum of squared Errors is minimised argument that after we assume that this function comes from a particular classic and as you know that the function is linear or the function is quadratic,10_Lecture_05___Linear_Regression.wav
11,let's look at this right again,11_Lecture_05___Linear_Regression.wav
