,content,topics
0,,0_Lecture_12__k-Nearest_Neighbour.wav
1,good morning today we will start module 3 in this module we will talk about instance based learning and then we will talk about feature selection will show how instance based learning feature dimensionality is a problem and feature large having many features is a problem for many other learning outcomes and we will look for methods,1_Lecture_12__k-Nearest_Neighbour.wav
2,part of the lecture which we will have today we will talk about instance based learning and specifically the K nearest neighbour so what we have is that suppose in the machine learning in supervised learning you have got training examples x y a set of them x y y or you can say XI XI so these examples are given to you and given the examples you want to come up with the function if you want to find an estimate for the funk,2_Lecture_12__k-Nearest_Neighbour.wav
3,we have seen how to learn linear regression a linear function as or a decision tree a function which is a decision tree to estimate this today we will look at another setting called instance based learning which is also called Levi law,3_Lecture_12__k-Nearest_Neighbour.wav
4,discuss,4_Lecture_12__k-Nearest_Neighbour.wav
5,lazy I will tell what it means instaface learning what we do is that when we get the training examples we do not process them and Lana model instead we just Store,5_Lecture_12__k-Nearest_Neighbour.wav
6,need to classify an instance that time we do something so we do Not immediately learn the model that is why the algorithm that we will discuss is also called as lazy,6_Lecture_12__k-Nearest_Neighbour.wav
7,does not come up with the model at Priory rather when it gets the test instance it uses the stored instances in memory in order to find the possible,7_Lecture_12__k-Nearest_Neighbour.wav
8,so how does it do it suppose this is the instant space,8_Lecture_12__k-Nearest_Neighbour.wav
9,points in the instance space for each point you have the corresponding X value and the Y value when you are given a new insta,9_Lecture_12__k-Nearest_Neighbour.wav
10,find what is the closest instance in terms of the extra value and suppose this is the closest instance you find the Y value of the instance when you guess the Y value of this as the Y value of this this is the basic nearest neighbour,10_Lecture_12__k-Nearest_Neighbour.wav
11,this Given Up test instance you have to find similar instances,11_Lecture_12__k-Nearest_Neighbour.wav
12,find a simple the most similar instance or we will see in some cases we want to find some neighbouring instances the most the nearest instances now how to find the similarity on what is the distance function of the metric that we consider for similarity we can use a standard metric like euclidean dost or other Matrix like cosine and other depending on the type of data that you are looking for the basic K nearest neighbour algorithm that I am going to describe this called the K nearest neighbour,12_Lecture_12__k-Nearest_Neighbour.wav
13,and letters outline that,13_Lecture_12__k-Nearest_Neighbour.wav
14,Sadak ke nearest neighbour works as follows as we have seen earlier learning outcomes have two phases training phase and testing phase of the use base so in the training phase normally the model is,14_Lecture_12__k-Nearest_Neighbour.wav
15,I have sir,15_Lecture_12__k-Nearest_Neighbour.wav
16,for such Lane lazy algorithms we do not learn your model during training in the training with face we just save the training in,16_Lecture_12__k-Nearest_Neighbour.wav
17,Vijay face,17_Lecture_12__k-Nearest_Neighbour.wav
18,possible in a more advanced implementation to store the examples in some data structure so that searching sources examples become faster but we'll talk about that later so the basically we just told the instances that prediction time to this training type sweat prediction time what we do,18_Lecture_12__k-Nearest_Neighbour.wav
19,get the test instance and find the K training examples so we get the test,19_Lecture_12__k-Nearest_Neighbour.wav
20,best insta,20_Lecture_12__k-Nearest_Neighbour.wav
21,given only the X value given only X and we have to predict the corresponding why it so what we do is that we find,21_Lecture_12__k-Nearest_Neighbour.wav
22,training example,22_Lecture_12__k-Nearest_Neighbour.wav
23,,23_Lecture_12__k-Nearest_Neighbour.wav
24,one Viva,24_Lecture_12__k-Nearest_Neighbour.wav
25,that is closest to,25_Lecture_12__k-Nearest_Neighbour.wav
26,,26_Lecture_12__k-Nearest_Neighbour.wav
27,,27_Lecture_12__k-Nearest_Neighbour.wav
28,among all the examples that we have stored in the training phase given text,28_Lecture_12__k-Nearest_Neighbour.wav
29,that value of XI so that it is closest to earth,29_Lecture_12__k-Nearest_Neighbour.wav
30,proprietor,30_Lecture_12__k-Nearest_Neighbour.wav
31,why it as the output so we predict sorry not Y to Y 1 as the output,31_Lecture_12__k-Nearest_Neighbour.wav
32,,32_Lecture_12__k-Nearest_Neighbour.wav
33,this is the basic one nearest neighbour,33_Lecture_12__k-Nearest_Neighbour.wav
34,in a more generalized form of the Alter The instead of finding the single nearest neighbour instead of finding the single example which is closest to the text example what we do is that we find ke training example,34_Lecture_12__k-Nearest_Neighbour.wav
35,one by one,35_Lecture_12__k-Nearest_Neighbour.wav
36,white,36_Lecture_12__k-Nearest_Neighbour.wav
37,ke bike,37_Lecture_12__k-Nearest_Neighbour.wav
38,are,38_Lecture_12__k-Nearest_Neighbour.wav
39,,39_Lecture_12__k-Nearest_Neighbour.wav
40,ok maybe 345 sector we find K nearest examples nearest,40_Lecture_12__k-Nearest_Neighbour.wav
41,and predict the output why it what should we predict it depends on whether we are doing a classification problem or a regression problem for a classification,41_Lecture_12__k-Nearest_Neighbour.wav
42,cat Y1 Y to y k and we can predict that class which is the majority class among Y1 Y2 bike we can predict the most frequent or the measure,42_Lecture_12__k-Nearest_Neighbour.wav
43,,43_Lecture_12__k-Nearest_Neighbour.wav
44,Sabhi project,44_Lecture_12__k-Nearest_Neighbour.wav
