,content,topics
0,,0_Lecture_18__Bayesian_Learning.wav
1,welcome to today's lecture today we will take talk about baby and learning which is part B of module 4,1_Lecture_18__Bayesian_Learning.wav
2,,2_Lecture_18__Bayesian_Learning.wav
3,in the last class We gave a crash course on probability and today we will see how probability is used for learning especially for classification so probability how it is used for modelling concepts,3_Lecture_18__Bayesian_Learning.wav
4,,4_Lecture_18__Bayesian_Learning.wav
5,,5_Lecture_18__Bayesian_Learning.wav
6,bayesian probability is the notion of probability,6_Lecture_18__Bayesian_Learning.wav
7,,7_Lecture_18__Bayesian_Learning.wav
8,which talks about partial believes,8_Lecture_18__Bayesian_Learning.wav
9,,9_Lecture_18__Bayesian_Learning.wav
10,,10_Lecture_18__Bayesian_Learning.wav
11,today's improbability talks about probability interpretation as partial belief and bayesian estimation,11_Lecture_18__Bayesian_Learning.wav
12,,12_Lecture_18__Bayesian_Learning.wav
13,,13_Lecture_18__Bayesian_Learning.wav
14,it calculates the validity of a proposal,14_Lecture_18__Bayesian_Learning.wav
15,,15_Lecture_18__Bayesian_Learning.wav
16,,16_Lecture_18__Bayesian_Learning.wav
17,the validity of preposition is calculated based on two things number one priority estimate it is based on the prior estimate of its probability,17_Lecture_18__Bayesian_Learning.wav
18,secondly new evidence new relevant evidence,18_Lecture_18__Bayesian_Learning.wav
19,based on this the posterior bayesian estimation is done and the key to this is an important theorem call to base which we will introduce now,19_Lecture_18__Bayesian_Learning.wav
20,,20_Lecture_18__Bayesian_Learning.wav
21,it is with how to find the probability of a hypothesis given that it have different possible competing hypotheses and you can find out the probability of the individual hypothesis given that data so that you can find out which is the most probable or most likely hypothesis according to the base theorem probability of hypothesis given data is given by probability be given a times prior probability of the hypothesis 8 / this is very easy to you know that by the law of products you can see that probability is the equal to Probability is X probability be given 8 and you can also because it is commutative this is also equal to Probability the h which is equal to probability that the X probability 8 given the so if you consider these two are equal,21_Lecture_18__Bayesian_Learning.wav
22,manipulating them you can come up with base base role is the most important formula from which we can look for at base learning so pH is the prior probability of the hypothesis for this is the prior probability,22_Lecture_18__Bayesian_Learning.wav
23,probability is the probability of the data is hypothesis is true what is the likelihood of the data being generated if it was true what is the probability of being generated and PD is the likelihood of the data from this we have based,23_Lecture_18__Bayesian_Learning.wav
24,application of Bayes Theorem for the simple look at the sky,24_Lecture_18__Bayesian_Learning.wav
25,want to know whether a patient has cancer or not a patient take so this particular example is taken from from Mitchell's book on machine learning a patient it's a lab test and the result is positive now that test returns the correct positive result in only 98% of the cases in which the diseases actually present and the correct negative result in only 97% of the cases in which the disease is not,25_Lecture_18__Bayesian_Learning.wav
26,do you know that point 008 of the entire population have this cancer so we can write down this as probability of Cancer that is the prior probability of Cancer among the population is equal to 2.008 and therefore probability of not cancer,26_Lecture_18__Bayesian_Learning.wav
27,equal to 1 minus point 008 that is point 99,27_Lecture_18__Bayesian_Learning.wav
28,probability of the test being positive given that cancer is,28_Lecture_18__Bayesian_Learning.wav
29,this is given as 4.98 by the statement of the problem also probability,29_Lecture_18__Bayesian_Learning.wav
30,therefore the probability of the test be negative given cancer,30_Lecture_18__Bayesian_Learning.wav
31,1 -4.9 8 that is 4.02 what is the probability of test being positive given not tense,31_Lecture_18__Bayesian_Learning.wav
32,by 1 minus point 97 that is 4.03 similarly probability of not given not cancer is given to be point 97 values that are supplied to you in the problem this we can use base theorem we want to find out the probability of Cancer that the patient has cancer,32_Lecture_18__Bayesian_Learning.wav
33,given that the ability that the patient has cancer,33_Lecture_18__Bayesian_Learning.wav
34,given that the test is positive is given by probability of,34_Lecture_18__Bayesian_Learning.wav
35,positive given cancer,35_Lecture_18__Bayesian_Learning.wav
36,X probability of Cancer / probability of the,36_Lecture_18__Bayesian_Learning.wav
37,you can write,37_Lecture_18__Bayesian_Learning.wav
38,probability of not cancer given that the test is positive equal to probability of,38_Lecture_18__Bayesian_Learning.wav
39,just being negative given cancer X probability of not cancer,39_Lecture_18__Bayesian_Learning.wav
40,X probability of the,40_Lecture_18__Bayesian_Learning.wav
41,I know you can put the values what is probability of plus it is point 98.9 8.00 to Probability and negative given cancer is point 97 or not sorry point zero 3.03,41_Lecture_18__Bayesian_Learning.wav
42,times point 99,42_Lecture_18__Bayesian_Learning.wav
43,given the test is positive is point 98 2.002 / Probability and not cancer given the test is positive is point 0 3 X 992 given PT / probability of having the,43_Lecture_18__Bayesian_Learning.wav
