,content,topics
0,,0_Lecture_20___Bayesian_Network.wav
1,good morning today we will start with the fourth module of our lecture on probability and bayesian learning we have looked at the basics of probability and we have talked about bayesian approach to learning you have talked about base map classification base of the well classified and we have also look that nice now as we have seen the base optimal classifier is not practical to apply it because one has to apply all the classifiers to a particular problem also if we look at the entire joint distribution of the probabilities involving all the variables the problem becomes intractable because the number of joint distribution is too large to learn or to represent we have seen that nice base makes very very strict active assumptions but it is a very simple very fast easy to use learning out and we have also considered that it works well under certain situations but what we are going to study today is someone in the middle which is called the base network approach,1_Lecture_20___Bayesian_Network.wav
2,base of belief networks is a type of graphical model in fact it is a type of directed graphical model 13 also other types of graphical model which represents certain Independence relations are conditional Independence relationships between the different variables in that open this helps us in to make tractable inference in many cases where all the variables are not completely connected or connect completely dependent with each other this is a vast topic and we will just introduce what is bayesian network and we'll talk a little bit about that but for more details you have to study on your own or take up more advanced course now so what is network represents is that we have variables propose X1 X2 X3 and other variables of interest in the dormant why is also can be included in as one of the various we have the different variables in the domain and we want to look at that types of dependence on other Independence is between them and so we can think of these variables are represented by notes so we use a graphical notation to represent the relations especially the Independence relations between the variable these variables are the notes and we have arcs,2_Lecture_20___Bayesian_Network.wav
3,these are present relations between the variables the lack of arcsde not the lack of relation between the variables in certain ways,3_Lecture_20___Bayesian_Network.wav
4,we also have we have notes we have arts and they represent conditional dependence conditional Independence relationships,4_Lecture_20___Bayesian_Network.wav
5,,5_Lecture_20___Bayesian_Network.wav
6,it is not essential we can represent in bayesian networks causality causality can be represented so among the different variables in the domain some of these variables may be causes of the Other some may be effects of the Other so if you represent this causality we get a compact bayesian network structure we can still have a bayesian network without representing causality but the representation of causality makes the structure of the bayesian network more efficient so what we will do is that they will know that and example of a bayesian network so let's say that,6_Lecture_20___Bayesian_Network.wav
7,this is a note corresponding to the variable late wake up this is a known corresponding to late for work,7_Lecture_20___Bayesian_Network.wav
8,this is unknown corresponding to accident on the highway,8_Lecture_20___Bayesian_Network.wav
9,this is a note corresponding to a rainy day,9_Lecture_20___Bayesian_Network.wav
10,this is a note corresponding to traffic jam,10_Lecture_20___Bayesian_Network.wav
11,this is a note corresponding to meeting postponed,11_Lecture_20___Bayesian_Network.wav
12,note corresponding to Lake for Neet,12_Lecture_20___Bayesian_Network.wav
13,suppose these are the variables which are of our interests and we want to see what is the relation between the various lete se waking up late influences whether you are late for work if there is accident it is more likely that there is a traffic jam if it's a rainy day it's like to be our traffic jam and maybe we can say if it is a rainy day is a higher likelihood for an axe,13_Lecture_20___Bayesian_Network.wav
14,you are caught in a traffic jam its effects whether you are late for work if you are late for work it affects whether you are late for a meeting and if the meeting is postponed that also influences whether you are late for the meeting now please ask that I have drawn the note causal relationships between this variables and from this structure that we get which is a graph or more specifically directed acyclic graph,14_Lecture_20___Bayesian_Network.wav
15,directed acyclic graph which represents the notes and the relationships between them and from this network we can read different conditional Independence relationship example by whether you have woken up late but if you are late for work that directly influences whether you are late for meeting and therefore we can say that if you wake up late if you wake up late that affects whether you are late for the meeting however if you know that,15_Lecture_20___Bayesian_Network.wav
