,content,topics
0,,0_Lecture_25__SVM___The_Dual_Formulation.wav
1,abhi will now talk about part C of this lecture where we will look at the dual formulation of support vector machine in the last class we did the looked at the formulation of Optimisation problem corresponding to support vector machine where we have to minimise half w square this is the convex quadratic Optimisation function subject to this linear constraints why wtx I + be greater than equal to one for all examples,1_Lecture_25__SVM___The_Dual_Formulation.wav
2,look at how to get the dual of this particular formulation let us very briefly talk about Lagrangian dual ATI suppose we take our general Primal general problem and its Primal formulation is given by this is an Optimisation problem where you want to optimise meaning for you want to minimise f w w are the parameters you want to find values of w so that to minimise FW and you have a set of linear constraints that to type of linear constraints equality constraints we have l equality constraints h i w equal to zero and ke inequality constraints grw less than equal to zero all this constraint Selenium corresponding to this problem the generalized Lagrangian is given by a function of w alphabet,2_Lecture_25__SVM___The_Dual_Formulation.wav
3,w + summation over 12 ke for all the number of non linear constraints equal to 12 ke Alpha Plus permission equal to 12 l b h i h i w a h i w are the equality constraints the item to other inequality constraints the alpha and beta are called lagrange multipliers and the value of Alpha is greater than equal to feel so this is the Lagrangian of this Optimisation for,3_Lecture_25__SVM___The_Dual_Formulation.wav
4,what we want to do is that we want to this particular lagrange,4_Lecture_25__SVM___The_Dual_Formulation.wav
5,inner if you take the values of a w alpha and beta such that where the if the Primal constraints are not satisfied then the value of this Lagrangian will be Infinity if the constraints are not satisfied the value of the Lagrangian is infinity and it will be equal to FW if the constraints are satisfied so we want to find out,5_Lecture_25__SVM___The_Dual_Formulation.wav
6,the values of Alpha Beta for which,6_Lecture_25__SVM___The_Dual_Formulation.wav
7,so if you if you look at the maximum of the value of l w alpha beta then if w satisfies the Primal constraints it will be equal to FW and it will be Infinity otherwise and we can rewrite the primer as finding the value of this expression Max of LW alpha beta we want to find out those so we first to maximize keeping the blue fixed for a particular w we can maximize over alpha beta and find the expression Max LW alpha beta and max LW alpha beta is either fwr infinity and if you find the minimum of this it will be giving us the solution,7_Lecture_25__SVM___The_Dual_Formulation.wav
8,otherwise it has a value of infinity to the Primal can be written as,8_Lecture_25__SVM___The_Dual_Formulation.wav
9,take the Lagrangian and you find out alpha beta for a fixed w you can take maximization over alpha beta and then you can do minimum over w so minimum over w maximum over alpha beta LW alpha beta is a rewriting of the Primal fear,9_Lecture_25__SVM___The_Dual_Formulation.wav
10,Primal problem and it has a solution letters in the solution is p star Easter is the solution of the Primal problem minimum of a w maximum over alpha beta of the Lagrangian and the 2 problem is we are just putting the minimum here and maximum here so we take first we take Max offer Alpha Alpha Beta minimum over wlw alpha beta this is the dual formulation and it has the solution,10_Lecture_25__SVM___The_Dual_Formulation.wav
11,if this is the Primus problem solution this is the dual problem solution and we have to theorems this theory and says that first of all you should take if you change the order of maths mean and mean maths it is a General it is a General expression that maths over mean of this expression expression is less than equal to mean of maths of this expression and d star is the max of mean of this expression and therefore this star is less than equal to p,11_Lecture_25__SVM___The_Dual_Formulation.wav
12,star is always less than equal to P start now if there exists a saddle point of this Lagrangian where they are equal that is called the saddle point and that is the optimum value of both the optimum value of the Primal formulation and the optimum value of the dual formulation will be identical when there is a,12_Lecture_25__SVM___The_Dual_Formulation.wav
13,Kajal point exist then the saddle point satisfies the following condition called kkt condition or parents don't,13_Lecture_25__SVM___The_Dual_Formulation.wav
14,the condition says that the partial derivative of this Lagrangian with respect to w i and with respect to b i will be equal,14_Lecture_25__SVM___The_Dual_Formulation.wav
15,according to the kkt conditions and from these to you will find out that What you get is that Alpha IGI w will be equal to zero for equal to 12,15_Lecture_25__SVM___The_Dual_Formulation.wav
16,w is less than equal to zero and Alpha I Greater than equal to zero so these are the conditions that you get when the saddle point exists and the theory and says if w star alpha star and beta star satisfy the kkt conditions then it is also a solution to the Primal and dual problems with this brief in a description brief outline of Lagrangian dual ATI let us go back to SBM and see how it can be applied the details of this theory is beyond the scope of this class you can read some material on convex Optimisation if you want to learn more,16_Lecture_25__SVM___The_Dual_Formulation.wav
17,if you look at our SVM formulation what we have is we have FW as half the square and we have the gw Vs WI w X + be greater than equal to 1 we don't have the age we don't have the equality constraints we have only the objective function and the only dealing with Alpha I not the beta so we are dealing with FW + Alpha ji,17_Lecture_25__SVM___The_Dual_Formulation.wav
18,,18_Lecture_25__SVM___The_Dual_Formulation.wav
19,,19_Lecture_25__SVM___The_Dual_Formulation.wav
20,kkt conditions also says,20_Lecture_25__SVM___The_Dual_Formulation.wav
21,Alpha I Ti w equal to zero and w is less than zero so if Alpha,21_Lecture_25__SVM___The_Dual_Formulation.wav
22,speakers Alpha ITI we01 Alpha is zero then gw can be non zero and otherwise ji,22_Lecture_25__SVM___The_Dual_Formulation.wav
23,face that only the few of the Alpha is can be,23_Lecture_25__SVM___The_Dual_Formulation.wav
24,the training data points whose Alpha is a non Zero Hour cal the syp,24_Lecture_25__SVM___The_Dual_Formulation.wav
25,some of the Alpha is are non zero and the training data corresponding to the support Alpha is better than equal to zero if I better than zero,25_Lecture_25__SVM___The_Dual_Formulation.wav
