,content,topics
0,,0_Lecture_32___Neural_Network_and_Backpropagation_Algorithm.wav
1,today we will talk about multilayer neural network and the backpropagation algorithm to refresh your memory let us see what we can do by a single layer neural network if you use a single layer perceptron which we have already seen in a single layer perceptron we have a linear summation of the input units followed by a nonlinear function and the nonlinear function in the case of a perception is a thresholding function but we could also use other functions such as the sigmoid function that and its function of the Year,1_Lecture_32___Neural_Network_and_Backpropagation_Algorithm.wav
2,dosti ki maa of,2_Lecture_32___Neural_Network_and_Backpropagation_Algorithm.wav
3,Sigma WH using the sigmoid function or in general we can use a function 5 if we have a single layer neural network or single layer perceptron,3_Lecture_32___Neural_Network_and_Backpropagation_Algorithm.wav
4,can the decision boundary is represented by a straight line supposed X1 and X2 are the two features that you have the decision boundary is a straight line and such units will work to represent functions where the two classes examples belonging to two classes can be separated by a straight line for example is a look at the slide here we have two classes 1 class 1 is not a bi red plus plus two denoted by blue circle and there is a straight line function that separates them on the right VC to other examples where we have class 1 which is red class to which is blue and there is a line separating class 1 from class 2 and there exists a linear decision boundary with separate class 1,4_Lecture_32___Neural_Network_and_Backpropagation_Algorithm.wav
5,this fourth example in the bottom left here we have to read points to read plus points to Blue 0 points now these examples we cannot have a linear boundary with separates the bluepoints from the red point source such a machine learning problem cannot be represented by a single layer,5_Lecture_32___Neural_Network_and_Backpropagation_Algorithm.wav
6,example of a function which can be represented by a single layer perceptron and this particular function is the Boolean or function which most of you are familiar with the Boolean or function outputs one if any of the inputs S1 and output thereof only if all the inputs are not one not this function can be represented by a single layer perceptron and learning the function means learning the weights on the corresponding ages so there are three with its associated with this percent draught w1 from x12 the unit w2 from x to the unit and 220 which is the,6_Lecture_32___Neural_Network_and_Backpropagation_Algorithm.wav
7,colours diagram shows you that some specific values of 0011 and w2 for which we can implement this function this function can be implemented by some sets of that this is an example of a set of values which can implement this function ok so this is the representation of the earth function and given this particular values of 0011 and w2 we get a linear decision boundary with separate the space into two regions so that the plus points are in one region the - 4 -,7_Lecture_32___Neural_Network_and_Backpropagation_Algorithm.wav
8,this is another example of a function which can be represented by a single layer perceptron this is the Boolean and function where the output is one only if both the inputs are one otherwise the output is 0 it is represented by this diagram and this decision their corresponding to some specific weight so for example if I said the blue unequal 2122 equal to 1 and 220 equal to minus 1.5 it is it will denote a decision surface which works for this and function there could be other combinations of weights also which work for the and function but this is one combination of weight which implements the and,8_Lecture_32___Neural_Network_and_Backpropagation_Algorithm.wav
9,but when we have the xor function which is one if exactly one of the inputs is 1 and 0 if either both of them are both of them and that is the xor function and as you can see there is no linear decision boundary that separates 10 points from the one point So in order to represent this function we can go for multi layer,9_Lecture_32___Neural_Network_and_Backpropagation_Algorithm.wav
10,an example of implementation of the Boolean function so we have initially we have the first layer we have to perceptrons the first perceptron H1 and H2 and then the second layer we have one perceptron hope and together these three units into layers they can represent the Boolean xor function for certain combination of weights for example we can have the first the left units left H1 and the first player to represent the odd function by putting the weights as 11 and -4.5 we can have the second node at the first layer represent the and function by putting the weights as 11 -1.5 and we can have the note and the second layer,10_Lecture_32___Neural_Network_and_Backpropagation_Algorithm.wav
