,content,topics
0,,0_Lecture_39___Introduction_to_Ensembles.wav
1,good morning today we will start the 8 module where we talked about when we will talk about ensemble learning in ensemble learning we look at multiple classifiers and combining the output of the multiple classifiers in order to get better prediction for classification accuracy and under certain conditions where the classified outputs are independent of each other and make errors in an independent manner it is possible that by combining the outputs of several classified as we get a resulting classify which is better than any of the constituent classified as so today we will give a brief introduction to what is ensemble learning and what are the sum of the different ways in which the different learners can be formed so the topic of today is also some,1_Lecture_39___Introduction_to_Ensembles.wav
2,,2_Lecture_39___Introduction_to_Ensembles.wav
3,let's talk about ensemble classification so we have multiple learners,3_Lecture_39___Introduction_to_Ensembles.wav
4,given a test example these multiple learners will give different outputs the outputs maybe all sem all different or in some of them will be same some of them will be if so this multiple learners will give different decision and we want to have a way of combined name the decision output by the multiple love so what this we have to generate,4_Lecture_39___Introduction_to_Ensembles.wav
5,baseline,5_Lecture_39___Introduction_to_Ensembles.wav
6,how we get to generate a group of learners can be done in multiple waves and we will discuss about them and these different learners have to be different and there are many ways in which the learners can be different they may be using different Outlook,6_Lecture_39___Introduction_to_Ensembles.wav
7,you think of learner which uses a decision tree learning which uses and all that for a learner which uses our support vector machine and so on so we can feed the training example two different learning algorithms and combine the output but more usually which may use the same algorithm but use it such that the learners at different how so the different learners Mein use different parameters,7_Lecture_39___Introduction_to_Ensembles.wav
8,hyperparameter,8_Lecture_39___Introduction_to_Ensembles.wav
9,same learning algorithm but give different values to the parameters you get different models as output the models will be different they may have different representation,9_Lecture_39___Introduction_to_Ensembles.wav
10,the learners,10_Lecture_39___Introduction_to_Ensembles.wav
11,aur different modalities or may use different training sets,11_Lecture_39___Introduction_to_Ensembles.wav
12,talk about variance with respect to a learning research that learning outcomes may have Hai various so when they get their applied on different subsets of the data if the algorithm as high variance the model output will be different so we can try to give in learning algorithms which are we can have high variance can be fed different training set and as a result each time we will get different models which can be combined how do we set different type of parameters for example in neural network we have seen that there are certain parameters that we can set we can decide the topology of the network that is the number of hidden layers number of notes in each heat and layer the values of the weights and biases and so on so these are the different parameters by giving different values of this parameters we can get different within floral network we can get different bodies then we have looked at decision trees in decision tree is we try to come up with a strategy for deciding the attribute on which to split a particular node for split we can use different uristix functions such as entropy Gini index Excel but we could modify the decision tree algorithm so that we use different functions so that the different learners do not split on the same attributes and force the learners to form the foreign decision trees in the some of the ways in which you can get a group of learners now it is found that no learner is absolutely better than the other no one go to learn for many problems but if you have multiple learners and they know we not be good in that they may be weak but they make independent terrace so all the learners which are different then we work well in different parts of the data of the instance space and by combining is weak learners it is possible to get a very strong,12_Lecture_39___Introduction_to_Ensembles.wav
13,sample letters state the two class classification,13_Lecture_39___Introduction_to_Ensembles.wav
14,,14_Lecture_39___Introduction_to_Ensembles.wav
15,suppose we take some learners at each learner has an error so the error of each learner is website,15_Lecture_39___Introduction_to_Ensembles.wav
16,but has to be greater than 4.5 Y equal to 2.5 is a random order which does not give any information that is an example that you give it has 50% chance of being positive 50% chance of being negative the error = 2.5 does not give you any in format,16_Lecture_39___Introduction_to_Ensembles.wav
17,any learner error has to be greater than now we want to see that in ensembles we want the different constituent learners each will have an accuracy that accuracy Menon be very high but it must be greater than 4.5 but we will show that is not required if other conditions are met it is not required that that you receive has to be much higher than point why it has to be higher than 4.5 but it did not be very high but if these different base learners satisfy certain Independence conditions then it is possible to combine weak learners each having error greater than 4.5 in order to get a very strong,17_Lecture_39___Introduction_to_Ensembles.wav
18,this error has to be such that in all we have different based learning available L1 L2 LK and each has arrived at silent but the errors made must be independent,18_Lecture_39___Introduction_to_Ensembles.wav
19,make a diagram action and talk about bias and variance have already discussed bias and variance,19_Lecture_39___Introduction_to_Ensembles.wav
20,bias is a measure of how flexible the model is the model is very flexible a very powerful than the bias is low for example a decision tree is quite flexible bias is low and neural network is quite flexible bias is low but a linear classifier is not so flexible and bias is hi secondly we talked about waiting,20_Lecture_39___Introduction_to_Ensembles.wav
21,variance is high when if you give different subsets of data as training set the models output are very different then we say variance is height usually those hypothesis for which base is low they have high variance it is more flexible the more powerful the Representation is then variance will be Hai by a sweet now our objective is to reduce both AC and and we will see that one of the ways we can achieve both low bias and low variance is by on something,21_Lecture_39___Introduction_to_Ensembles.wav
22,low bias error and low variance error so we have by using ensembles,22_Lecture_39___Introduction_to_Ensembles.wav
23,which use multiple,23_Lecture_39___Introduction_to_Ensembles.wav
24,,24_Lecture_39___Introduction_to_Ensembles.wav
25,,25_Lecture_39___Introduction_to_Ensembles.wav
26,assume that these models have low by a sun hi variance by combining the output we can get low variance while maintaining your mobile,26_Lecture_39___Introduction_to_Ensembles.wav
27,even if the buyers is high to start with by combining we get a classifier which has,27_Lecture_39___Introduction_to_Ensembles.wav
28,because the individual hypothesis may have high bias but when we combine them we get a new hypothesis which may be out of the hypothesis class but we get a new potential hypothesis which has low bias so by using ensemble it is possible to get low bias and low variance,28_Lecture_39___Introduction_to_Ensembles.wav
29,if we achieve low by a slow variance what does it give us we will get less overfitting I will not have to worry about stopping criteria when to stop at 17 if we can achieve low bias and variance so the offence of ensemble by which it achieves this is by combining different baseless so and these learners Mein biwi,29_Lecture_39___Introduction_to_Ensembles.wav
30,combining week,30_Lecture_39___Introduction_to_Ensembles.wav
31,error cannot be higher than 4.5 error must be,31_Lecture_39___Introduction_to_Ensembles.wav
