,content,topics
0,,0_Lecture_40___Bagging_and_Boosting.wav
1,good morning today we will have the second part of the lecture an ensemble learning in the last class we give introduction to the different ensemble learning methods today I will talk about to specific methods bagging and boosting which are methods for ensemble learning bagging is a method for ensemble learning batting stance for bootstrap aggregation so we saw that,1_Lecture_40___Bagging_and_Boosting.wav
2,in order to have in order to use an ensemble of learners and be able to combine the learners and get better accuracy what is needed is a set of learners,2_Lecture_40___Bagging_and_Boosting.wav
3,which make independent errors you want a set of learners which make independent errors and we discussed in the last class in order to force the learners to make independent errors you can make them use different data samples you can make them use different parameters of the earth are you can make them use different and the output can be combined by some form of boating now in boost up aggregation what is done is that first of all the samples are generated such that the samples are different from each other however suppose you have a training set as on its quality and if you are going to have in learners,3_Lecture_40___Bagging_and_Boosting.wav
4,which the training set into K partitions and use one for each other however often it is the case that the size of the training set is not large so if you make it smaller by splitting it into ke different sets the individual training sets will be small and as we have observed while talking about the foundations of machine learning is that if you use a learner on a small training example the learner 10 overfit it can have high variance then it will not generalize well so we want to be able to use,4_Lecture_40___Bagging_and_Boosting.wav
5,we will not be able to afford to have fully independent data but we can sample randomly from the data so that the and we do that by by a method of Sampling instead of dividing it into K join the groups we treat this as the pool and from this pool December,5_Lecture_40___Bagging_and_Boosting.wav
6,Diwan t 2D 3D ke different data substance which is samples from the original data have some income but they also will have a different but now as we have discussed that are so what we do is that you get the draw random samples with,6_Lecture_40___Bagging_and_Boosting.wav
7,for example if you desire that each of these will have an examples we randomly draw M samples from the with replacement that is we can have the same instance repeated several times and some instances may not appear in a particular and so this device can be different we have discussed in the last class that in order that ensembles will work we Desire that these learners may have high variance and by combining these ke learners we can reduce the variance in a in certain cases by one by so we can start with learners with high variance and we also discuss that in order that the different learners produced from hypothesis we want the law learners to be unstable stable learners in a respective of What data there to get the output will be similar that is they have low variance learners with high variance are unstable among the algorithms that we have studied decision tree then neural network they are unstable albums decision tree neural network and stable given different data they may give different where as algorithms like K nearest neighbour is more,7_Lecture_40___Bagging_and_Boosting.wav
8,when you want to use ensembles or specifically bagging we wish to use unstable learn and we use bootstrapping to generate the training sets which generate this ke training sets and we train so once we get this training sets in this study we have the instances 12345678 and we get the ones and even may have 15123 and D2 may have,8_Lecture_40___Bagging_and_Boosting.wav
9,641654 D3,9_Lecture_40___Bagging_and_Boosting.wav
10,1511 this different different data sets and V trainer learn L1 L2 LK on this different data sets and negative model and these models have to be combined by so we use bootstrapping to generate this ke learners and trainer based learning with rich and combine the output by hoti so in banking what we do is that we do sampling in order to get this individual data sets we do sampling with replacement,10_Lecture_40___Bagging_and_Boosting.wav
11,,11_Lecture_40___Bagging_and_Boosting.wav
